87,13.6667,12,0.990512,0.0288579,
87,12.3333,11,0.992395,0.0275622,
84.6667,11,10,0.994129,0.0269111,
82.3333,12.3333,9,0.980159,0.0275797,
80,13.6667,9.33333,0.973631,0.0293321,
75.6667,15,9.66667,0.965957,0.0319421,
71.3333,16.6667,10,0.955357,0.0349819,
67,18.3333,11.6667,0.952607,0.0393658,
65.6667,20,13.3333,0.951691,0.0422596,
64.3333,18.6667,15,0.972292,0.043982,
63,17.3333,13.6667,0.971722,0.0430866,
61.6667,16,12.3333,0.971129,0.0420736,
60.3333,18.6667,11,0.94026,0.0431331,
59,21.3333,11.6667,0.924282,0.0460637,
63.3333,24,12.3333,0.915663,0.044844,
67.6667,21.6667,13,0.939815,0.0415372,
72,19.3333,13,0.957871,0.0381487,
67.3333,17,13,0.971154,0.0396553,
62.6667,17.3333,13,0.966581,0.0426841,
58,17.6667,11.3333,0.948229,0.0445422,
57.3333,18,9.66667,0.932249,0.0436896,
56.6667,14.6667,8,0.944444,0.0403552,
56,11.3333,7.66667,0.9683,0.0379223,
53.6667,8,7.33333,0.993827,0.036267,
51.3333,10.6667,7,0.965517,0.0398202,
49,13.3333,7.33333,0.942308,0.0444823,
